기간,자치구,세대,합계,남자 합계,여자 합계,한국인 합계,한국 남자,한국 여자,외국인 합계,외국인 남자,외국인 여자,세대당인구,65세이상고령자
2020.3/4,합계,4405833,9953009,4840912,5112097,9699232,4719170,4980062,253777,121742,132035,2.2,1552356
2020.3/4,종로구,74861,159842,77391,82451,149952,73024,76928,9890,4367,5523,2,28396
2020.3/4,중구,63594,135321,66193,69128,125800,61526,64274,9521,4667,4854,1.98,24265
2020.3/4,용산구,112451,244953,119074,125879,229786,110604,119182,15167,8470,6697,2.04,39995
2020.3/4,성동구,136096,302695,147582,155113,295591,144444,151147,7104,3138,3966,2.17,45372
2020.3/4,광진구,166857,361923,174077,187846,348064,168095,179969,13859,5982,7877,2.09,50047
2020.3/4,동대문구,167232,358679,176433,182246,344416,170748,173668,14263,5685,8578,2.06,61408
2020.3/4,중랑구,185109,400989,198012,202977,395997,195981,200016,4992,2031,2961,2.14,68658
2020.3/4,성북구,195379,449871,216155,233716,439719,212151,227568,10152,4004,6148,2.25,73370
2020.3/4,강북구,145790,313550,152458,161092,309996,151117,158879,3554,1341,2213,2.13,62951
2020.3/4,도봉구,139029,329300,160526,168774,327248,159723,167525,2052,803,1249,2.35,61388
2020.3/4,노원구,218002,529532,255618,273914,525486,253797,271689,4046,1821,2225,2.41,84612
2020.3/4,은평구,213039,485842,233104,252738,481546,231364,250182,4296,1740,2556,2.26,84353
2020.3/4,서대문구,144494,323860,153763,170097,313212,149993,163219,10648,3770,6878,2.17,53869
2020.3/4,마포구,178495,383494,179899,203595,373508,176011,197497,9986,3888,6098,2.09,54053
2020.3/4,양천구,180309,460048,225596,234452,456240,223889,232351,3808,1707,2101,2.53,64804
2020.3/4,강서구,266366,589536,284747,304789,583544,281951,301593,5992,2796,3196,2.19,88052
2020.3/4,구로구,179792,435751,217380,218371,405579,200268,205311,30172,17112,13060,2.26,69312
2020.3/4,금천구,113887,249641,127292,122349,232157,117489,114668,17484,9803,7681,2.04,39361
2020.3/4,영등포구,182087,405982,202624,203358,375630,185800,189830,30352,16824,13528,2.06,60826
2020.3/4,동작구,184193,404617,195373,209244,393554,190422,203132,11063,4951,6112,2.14,64674
2020.3/4,관악구,275248,514555,257638,256917,498574,250084,248490,15981,7554,8427,1.81,78206
2020.3/4,서초구,173483,429995,205671,224324,426009,203686,222323,3986,1985,2001,2.46,59495
2020.3/4,강남구,234021,544085,260358,283727,539235,257961,281274,4850,2397,2453,2.3,73942
2020.3/4,송파구,281417,676673,326602,350071,670331,323646,346685,6342,2956,3386,2.38,92149
2020.3/4,강동구,194602,462275,227346,234929,458058,225396,232662,4217,1950,2267,2.35,68798
2020.2/4,합계,4384076,9985652,4859501,5126151,9720846,4732275,4988571,264806,132778,147348,2.24,1518239
2020.2/4,종로구,74497,160520,77745,82775,150383,73288,77095,10137,4567,6200,2.04,28073
2020.2/4,중구,63354,136030,66545,69485,126092,61697,64395,9938,4930,5364,2,23794
2020.2/4,용산구,111586,245362,119494,125868,229431,110527,118904,15931,9294,7292,2.07,39439
2020.2/4,성동구,135937,304851,148554,156297,297397,145258,152139,7454,3591,4560,2.2,44728
2020.2/4,광진구,166307,363925,175083,188842,349574,168879,180695,14351,6658,8915,2.12,48989
2020.2/4,동대문구,166451,360380,177237,183143,345593,171392,174201,14787,6306,10331,2.09,60367
2020.2/4,중랑구,183310,399415,197384,202031,394414,195349,199065,5001,2046,3013,2.17,66764
2020.2/4,성북구,195064,452290,217551,234739,441812,213431,228381,10478,4635,7403,2.28,72172
2020.2/4,강북구,145559,315395,153389,162006,311773,152028,159745,3622,1394,2371,2.16,61660
2020.2/4,도봉구,138966,331744,161724,170020,329560,160855,168705,2184,895,1362,2.39,60023
2020.2/4,노원구,217897,533041,257473,275568,528887,255624,273263,4154,1970,2488,2.45,82682
2020.2/4,은평구,210664,483938,232423,251515,479524,230640,248884,4414,1806,2684,2.3,82245
2020.2/4,서대문구,143323,324224,153921,170303,312720,149920,162800,11504,4451,8782,2.2,53038
2020.2/4,마포구,177544,384957,180659,204298,374390,176664,197726,10567,4261,7255,2.13,53283
2020.2/4,양천구,179677,462034,226748,235286,457953,224908,233045,4081,1868,2325,2.57,62761
2020.2/4,강서구,265252,593203,286668,306535,586936,283697,303239,6267,3049,3352,2.24,85992
2020.2/4,구로구,178367,436707,218051,218656,405075,200098,204977,31632,18412,14059,2.29,67432
2020.2/4,금천구,112570,250554,128078,122476,232250,117762,114488,18304,10599,8188,2.09,38508
2020.2/4,영등포구,179787,405154,202648,202506,373349,184905,188444,31805,18301,14562,2.09,59373
2020.2/4,동작구,183537,406776,196479,210297,395165,191211,203954,11611,5671,7117,2.17,63378
2020.2/4,관악구,273715,516318,258740,257578,499740,250829,248911,16578,8239,9049,1.84,76664
2020.2/4,서초구,173998,433062,207095,225967,428919,205037,223882,4143,2090,2143,2.48,58332
2020.2/4,강남구,233484,546158,261187,284971,541233,258753,282480,4925,2509,2585,2.33,72602
2020.2/4,송파구,280135,678067,327383,350684,671512,324317,347195,6555,3199,3589,2.41,89539
2020.2/4,강동구,193095,461547,227242,234305,457164,225206,231958,4383,2037,2359,2.38,66401
2020.1/4,합계,4384076,9985652,4859501,5126151,9720846,4732275,4988571,264806,127226,137580,2.22,1534957
2020.1/4,종로구,74497,160520,77745,82775,150383,73288,77095,10137,4457,5680,2.02,28203
2020.1/4,중구,63354,136030,66545,69485,126092,61697,64395,9938,4848,5090,1.99,24035
2020.1/4,용산구,111586,245362,119494,125868,229431,110527,118904,15931,8967,6964,2.06,39650
2020.1/4,성동구,135937,304851,148554,156297,297397,145258,152139,7454,3296,4158,2.19,45005
2020.1/4,광진구,166307,363925,175083,188842,349574,168879,180695,14351,6204,8147,2.1,49457
2020.1/4,동대문구,166451,360380,177237,183143,345593,171392,174201,14787,5845,8942,2.08,60817
